,content,id,lat,location,lon,time,user,user_id
1191,"#66/365 Grateful for #NBC10BostonPuppy #Brady. Getting to snuggle him this morning brought me such joy, it powered… https://t.co/s1H5a7ZoXs",971535772812763136,,"Boston, MA",,2018-03-07 23:59:13,susantran,17889737
1195,Tweeps....storm is going ALL NIGHT LONG. Patience. https://t.co/gBTs9bdjw1,971535227595128832,,"Boston, MA",,2018-03-07 23:57:03,PeteNBCBoston,28098358
1196,RT @boston_girl79: Good morning Twitter family! Have a wonderful day and stay safe in the storm! https://t.co/viIi8kAulY,971534683749126144,,"Philadelphia, PA",,2018-03-07 23:54:53,megangrayxox,1099756507
12,You think this is funny? Guess again. Overnight storm leaves thousands without power across Merrimack Valley.… https://t.co/QTuQjXnH3V,971805237483921408,,"Boston, MA",,2018-03-08 17:49:58,spcspcwriter,910171155922898944
1200,Why does every Spring Break in Boston mean a winter storm?,971533871023054848,,"Boston, MA",,2018-03-07 23:51:39,FarihaO_,279277143
1204,"Crossing my finger and hoping this storm isn't as bad as everyone thinks
.
.
.
.
.
#nikon… https://t.co/wJoxcl0D8m",971533549349359616,-71.04314446,"Boston, MA",42.35274035,2018-03-07 23:50:23,King_James006,353148732
1205,Second major storm hits Northeast in a week... https://t.co/lwz3yeSFS9,971533509922836480,,Watertown,,2018-03-07 23:50:13,RedLights4FF,912799952476233728
1206,I want ice cream...but theres a snow storm outside...sigh.,971533315038687232,,"Boston, MA",,2018-03-07 23:49:27,marionpdaly,2652828374
1207,MBTA Advises Commuters To Allow Extra Time https://t.co/JbE1RogBs1 https://t.co/d0EXvxMqtG,971533133551153152,,"Boston, MA",,2018-03-07 23:48:43,Kiss108,19667589
1209,RT @7News: Road conditions are deteriorating in many areas as the nor'easter takes hold of the region. Track the storm here: https://t.co/S…,971532891418177536,,"Massachusetts, USA",,2018-03-07 23:47:46,SkyBoivin,3171716907
121,"Well
It seems so sweet, in pictures, 
But was a terrible storm. 
No power",971774730331197440,,"Boston, MA",,2018-03-08 15:48:45,ImranHNawaz,95475304
1211,Yo this is MLT cool kid hopin he don't die in this snow thunder storm yo,971532646944788480,,"Boston, MA",,2018-03-07 23:46:47,Milton3Landes,797962982043123712
1215,"I don’t know about this one, meteorologists. Seeing a whooooole ton of rain coming down here in Cambridge

(Yes, I’… https://t.co/HscVplVZDF",971531116615266304,,"Cambridge, MA",,2018-03-07 23:40:43,BretEditor,34161567
1216,@letsgomathias Surge pricing for mid storm food delivery?,971530853137502208,,"Boston, MA",,2018-03-07 23:39:40,galenw,15160411
1217,MBTA Advises Commuters To Allow Extra Time https://t.co/EryDZzVIQc https://t.co/jJrhuMktxZ,971530736892366848,,"Boston, MA",,2018-03-07 23:39:12,977RnB,815975843314991104
1218,"@DavidAPalomares After you dig out from tonight's storm, sure! But we will be watching Ed Harding closely at 11 to… https://t.co/asZCbd4SsX",971530733620776960,,"Boston, MA",,2018-03-07 23:39:11,universalhub,12705772
1219,"Was your vehicle damaged during the recent winter storm? We are offering up to $1,000 with our Storm Recovery... https://t.co/qxdTYPeuNC",971530553475457024,,"Boston, MA",,2018-03-07 23:38:28,CoastalNissanMA,128581978
1221,"In preparation of tonight’s storm, we’re dreaming of our favorite spring jewels ✨🌷check stories… https://t.co/RvcOitFQR7",971530370998067200,-71.06941,"Boston, MA",42.34188,2018-03-07 23:37:45,mflynnjewelry,356581023
1222,"The quiet before the storm ⛈ 
•
•
•
•
•
•
•
•
•
#thequietbeforethestorm #newengland… https://t.co/ptyIoT5tmK",971530015664951296,,"Boston, MA",,2018-03-07 23:36:20,agentstiles,2873196635
1223,MBTA Advises Commuters To Allow Extra Time https://t.co/tF5fSJ0yBS https://t.co/sPGNDqXWse,971529795761790976,,"Boston, MA",,2018-03-07 23:35:28,TheBull1017,2565327282
1225,"@katedtweets I am in full-on scoffing mode at the weakness of this storm, so I am!  Supposedly the worst is happening overnight anyway...",971528932452380672,,"Somerville, MA",,2018-03-07 23:32:02,foxeared,223613505
1226,"The calm before the storm ⛈ ☔️ 
•
•
•
•
•
•
•
•
#bostoncommon #bostoncommons #bostoncommonpark… https://t.co/20wse48tkE",971528627929022464,,"Boston, MA",,2018-03-07 23:30:49,agentstiles,2873196635
1227,What storm?,971528564578357248,,"Boston, MA",,2018-03-07 23:30:34,HowRood,171375181
1228,I hate that I'm in the middle of a storm cause I definitely want wingstop,971528547247509504,,"Boston, MA",,2018-03-07 23:30:30,IRodC,53988558
1229,How bad is this #noreaster #bombgenesis #thundersnow storm? The snow's gonna be wicked heavy in @mattynickwaaf's… https://t.co/Jj0CplCz66,971528503165407232,,"Boston, MA",,2018-03-07 23:30:19,waaf,17789365
123,"@Nance0881 @TEE1031 @barryley1 @NBCNews @BillClinton Storm or no storm, you’re still a partisan hack who got conned… https://t.co/4pF8oClYXl",971774349098274816,,"Boston, MA",,2018-03-08 15:47:14,mathison,17601368
1230,“passengeeeeeeeeeeeeeeeeeeeeeee—(u can imagine)” –a little sunshine on the eve of a nasty storm,971528295354372096,,"Boston, MA",,2018-03-07 23:29:30,hannahjeez,529681153
1231,MBTA Advises Commuters To Allow Extra Time https://t.co/6WctCFAoQa,971528209069170688,,"Boston, MA",,2018-03-07 23:29:09,bostonevolution,1017877152
1232,Anyway 😂 i need a storm buddy,971527485417558016,,"Boston, MA",,2018-03-07 23:26:17,JunDawg_,75132193
1233,@MikeDennawho shout out to #Milton DPW and the hard work they do for our town.  The terrible storm and tree damage… https://t.co/TpFuNwgsdS,971527430098882560,,"Boston, MA",,2018-03-07 23:26:04,Slapshot08,25988407
1236,This Tampa weather right now is so nice 😎 can’t wait to get back to the snow storm awaiting me in Boston tomorrow!!,971526683273650176,,"Boston, MA",,2018-03-07 23:23:06,DarinGooden,2160798461
1237,MBTA Advises Commuters To Allow Extra Time https://t.co/SRamCQrLID https://t.co/RUT85ZFOB4,971526583147204608,,"Boston, MA",,2018-03-07 23:22:42,JAMN945,19669694
1238,"And with that laughing out burst, the pain game is back. Fuck. Only going to get worse with the effing storm. #CRPS #Chronicpain",971526297464819712,,"Boston, MA",,2018-03-07 23:21:34,midnightdemon2,14740619
1239,MBTA Advises Commuters To Allow Extra Time https://t.co/mEkzxeQaFk https://t.co/UMr6OkOVgG,971526017545375744,,"Boston, MA",,2018-03-07 23:20:27,wzlx,19079788
124,RT @NBC10Boston: How much snow did your town get? https://t.co/Xj58NlxHHG,971774004716560384,,"Boston, MA",,2018-03-08 15:45:52,NBCWXWarrior,938234419860639744
1240,"So far this whole ""storm"" is just a lot of rain. I'm not disappointed, but... I guess I'm kind of disappointed?",971525988705284096,,"Boston, MA",,2018-03-07 23:20:20,Fretshark,1120885376
1242,RT @KeolisBoston: While clean up from Winter Storm Riley continues @MBTA_CR teams are preparing for Wednesday's snowfall by refilling suppl…,971525740381470720,,"Worcester, MA",,2018-03-07 23:19:21,plane_train_guy,3312754588
1243,Road conditions are deteriorating in many areas as the nor'easter takes hold of the region. Track the storm here:… https://t.co/PGZZJljixH,971525549687422976,,"Boston, MA",,2018-03-07 23:18:35,7News,16558796
1245,STORM FORCE COVERAGE: 7News has you covered with a check on the latest forecast and conditions across the state as… https://t.co/CbSQgWifi3,971524711288135680,,"Boston, MA",,2018-03-07 23:15:15,Boston_CP,70291924
1246,I totally missed that the bonus prequel episode to Life Is Strange: Before the Storm came out on Monday! https://t.co/iYmRhMaBOV,971524688592736256,,"Boston, MA",,2018-03-07 23:15:10,gamebits,10776942
1250,Homemade pancakes for dinner during a raw storm is heaven. @VeroTrueSocial https://t.co/k5yuQKyIc1,971523368674643968,,"Boston, MA",,2018-03-07 23:09:55,wildmindwriting,956343881251074048
